"Site","FireFreq","meanS","meanH","meanJ","sdS","sdH","sdJ","n","cover","cover_adj","CV","CV_H","CV_J","RR_S","logRR","logRR2","logRR2_v","logRR_H","logRR_H2","logRR_H2_v","logRR_J","logRR_J2","logRR_J2_v","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"McCorkill",0.25,82.5,3.05365129702036,0.69265459605927,6.36396103067893,0.159243757542604,0.0482232134246093,2,45.115,45.115,0.077138921583987,0.052148638483375,0.0696208668779018,1.55660377358491,0.442506379788513,0.426194054294014,0.039213165069921,0.278722586268653,0.274654599839517,0.0109014620844098,0.171807041164947,0.171800665908358,0.00486572011061263,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0.333333333,34,3.26304862380003,0.925330408227392,NA,NA,NA,1,255.970238089,100,NA,NA,NA,2.19354838709677,0.78552050069096,0.78552050069096,NA,0.381486655575357,0.381486655575357,NA,0.0598123661057942,0.0598123661057942,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,30,3.15597345217831,0.927900706143669,NA,NA,NA,1,201.324999993,100,NA,NA,NA,1.93548387096774,0.660357357736954,0.660357357736954,NA,0.348121727603143,0.348121727603143,NA,0.0625862236612769,0.0625862236612769,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,35,2.38281562095505,0.682571665044786,32.5269119345812,1.63571807201855,0.267452109935293,2,48.6878012615,48.6878012615,0.929340340988034,0.686464390124712,0.391830079729055,0.603448275862069,-0.505094949057006,-0.505094949057006,NA,-0.427200258569032,-0.427200258569032,NA,-0.276078751181663,-0.276078751181663,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,65.5,3.58379469996437,0.85705519190579,2.12132034355964,0.0311817205804091,0.0140953234919005,2,117.395202957,100,0.0323865701306816,0.00870075525830738,0.0164462261299153,1.12931034482759,0.121607132094787,0.121607132094787,NA,-0.0190608699378534,-0.0190608699378534,NA,-0.0484439586424879,-0.0484439586424879,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,71,3.38369117163999,0.79379434281811,NA,NA,NA,1,162.22990577,100,NA,NA,NA,1.22413793103448,0.202236866494896,0.202236866494896,NA,-0.0765159047901189,-0.0765159047901189,NA,-0.125121862842687,-0.125121862842687,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,87,3.83437154803377,0.858587200219634,NA,NA,NA,1,191.77466474,100,NA,NA,NA,1.5,0.405465108108164,0.405465108108164,NA,0.0485224676146164,0.0485224676146164,NA,-0.0466580285115035,-0.0466580285115035,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,66,3.60250764776274,0.859857880800055,NA,NA,NA,1,89.612867614,89.612867614,NA,NA,NA,1.13793103448276,0.129211731480006,0.129211731480006,NA,-0.0138529092402398,-0.0138529092402398,NA,-0.0451791557490933,-0.0451791557490933,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,73,3.84235069119612,0.895556931349914,NA,NA,NA,1,122.630055536,100,NA,NA,NA,1.25862068965517,0.230016430601972,0.230016430601972,NA,0.0506012574384748,0.0506012574384748,NA,-0.00450048204681924,-0.00450048204681924,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0.3138298,83.6666666666667,3.07943286647514,0.698492534418986,22.1434715736565,0.290711413791296,0.0383631681208272,3,56.3666666666666,56.3666666666666,0.264663006856452,0.094404205708195,0.0549228033664498,2.16379310344828,0.771862748025419,0.772352564227118,0.0462408137559691,0.361365539835693,0.35719844178738,0.0143439452579021,0.171224578930154,0.168335215278607,0.00781325527856272,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.3333333,87.3333333333333,2.97604899789731,0.664819098436842,19.7568553503166,0.651814699551448,0.112747945672472,3,45.8000000000001,45.8000000000001,0.22622353454561,0.219020150545901,0.169591917466828,2.25862068965517,0.814754312654732,0.812099225587099,0.0398239283907907,0.327216675248846,0.329559189248826,0.0274865958961355,0.121815059531405,0.1232165132366,0.0164403410939174,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",0.5,90,3.34570590090764,0.743982428811436,8.54400374531753,0.133371099844976,0.0231706287203493,3,61.5333333333333,61.5333333333333,0.0949333749479726,0.0398633662955236,0.0311440537075129,2.32758620689655,0.84483176789201,0.835149223840494,0.0256280215386491,0.444297797043942,0.438910187981799,0.0118986509363894,0.234317505674157,0.231087048314562,0.00713061460959493,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"TallTimbers",1,94.3333333333333,3.21870987086568,0.709898788123371,13.2035348802256,0.302641022334525,0.0758852871759029,3,78.4333333333333,69.2333333333334,0.139966800850448,0.0940255675337179,0.106895924384527,2.43965517241379,0.891856706536873,0.883937222428906,0.0291709510569198,0.405600712114647,0.401421722948775,0.0143200926552659,0.187422496243839,0.185934836645691,0.0106234117741089,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
"Tiogo",1,15.3125,2.0109306965982,0.756648468219652,6.27442037672244,0.464888243912728,0.091321437754894,48,97.2378958333333,97.23785,0.409758065418608,0.231180639242893,0.120692027527351,1.84210526315789,0.610909082322973,0.610873681920852,0.00707918964043831,0.434208208162172,0.433437942756312,0.00377152608199601,0.175063805685886,0.174491575097368,0.00175249570613166,"Savanna",734,28.1340942382812,118.634666442871,2995,12,"Afr"
"Ukulinga",0.333,40.3333333333333,2.48399098406131,0.670656377809096,4.04145188432738,0.441522501955824,0.101576324769882,3,201.28,100,0.100201286388282,0.177747224039412,0.151458076193523,1.1747572815534,0.161061557367105,0.160708359128112,0.00741374282442139,0.127416505836379,0.131868238062776,0.0122160324257482,0.0807055630900946,0.0842833156357303,0.00816688262317285,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"Ukulinga",1,40.6666666666667,2.68237062853987,0.724634361478876,4.93288286231625,0.136490870057062,0.0124450384964024,3,198.47,100,0.121300398253678,0.0508844186574472,0.0171742318029244,1.18446601941748,0.169292056503621,0.1697177730684,0.00897799953956655,0.204250937792263,0.203868528086725,0.0024926662543687,0.158115860538555,0.157919513983154,0.000589454648700063,"Savanna",854,17.558500289917,63.948673248291,5332,60,"Afr"
"UniversityMissouri",0.25,58,3.29013202955053,0.810088064093135,1.4142135623731,0.331463536900499,0.0767701010927095,2,193.446466312,100,0.0243829924547085,0.100744752466903,0.0947675993456969,2.57777777777778,0.946927701336045,0.934977568484208,0.0247876004579704,0.285282393455042,0.285264504245669,0.0102112188887284,0.016614484403645,0.018639321690084,0.00494140251974548,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"UniversityMissouri",1,56,3.37160792875293,0.838257872719455,7.07106781186548,0.149315907945101,0.010739490757,2,149.2703124585,100,0.126269068069026,0.0442862607694511,0.0128116789671885,2.48888888888889,0.911836381524775,0.903723585480431,0.0324940057935899,0.3097444596881,0.307679512414558,0.00610470702746183,0.0507972986978924,0.0506179462923843,0.000522944437703342,"Forest",1210,13.8540315628052,17.570650100708,8647,64,"NAm"
"Yackelup",0.08823529,69.5,2.90250548909424,0.684499302083674,9.19238815542512,0.239456281478973,0.0350857262297417,2,59,59,0.132264577775901,0.0824998548249768,0.0512575047526533,1.27522935779817,0.243126050901548,0.245437414551604,0.012917950526994,0.121217599143443,0.120815109196887,0.00762585055137265,0.0606006969122625,0.0579868956481931,0.00787719127695433,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
"Yackelup",0.2058824,73,2.73538480628215,0.637427117317917,1.4142135623731,0.273405759942399,0.0608470863917575,2,57.54,57.54,0.0193727885256588,0.0999514800676265,0.0954573232588253,1.3394495412844,0.292258739479193,0.290290449729505,0.00432040668601924,0.0619153963668683,0.0623089245007046,0.00922457188071668,-0.0106469834944616,-0.0116395925659631,0.0111290916001315,"Forest",696,14.9082708358765,64.3865051269531,4162,34,"Aus"
