"Site","FireFreq","meanSeed","meanHeight","meanN","meanLMA","meanDensity","CV_Seed","CV_Height","CV_N","CV_LMA","CV_Density","n","logRR_Seed1","logRR_Seed","logRR_v_Seed","logRR_Height1","logRR_Height","logRR_v_Height","logRR_N1","logRR_N","logRR_v_N","logRR_LMA1","logRR_LMA","logRR_v_LMA","logRR_Density1","logRR_Density","logRR_v_Density","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"Cedar Creek",0.229166667,178.109790259453,2.57373207097048,2.9368941564564,10.3263626155618,0.0857038315212734,NA,NA,NA,NA,NA,1,0.109804529819503,0.109804529819503,NA,-0.0762312689725606,-0.0762312689725606,NA,0.239071649410902,0.239071649410902,NA,0.274163400440543,0.274163400440543,NA,0.171748891559506,0.171748891559506,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.363636364,1537.47427758754,12.1743295019847,10.6637931034906,37.6551724139625,0.335362068962637,NA,NA,NA,NA,NA,1,2.26530063997582,2.26530063997582,NA,1.47774131354994,1.47774131354994,NA,1.52857321711265,1.52857321711265,NA,1.56793362417242,1.56793362417242,NA,1.53606210947391,1.53606210947391,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.395348837,732.490301252731,6.06078467008358,5.33738138672583,18.6590054741592,0.164901496362717,NA,NA,NA,NA,NA,1,1.52385447065242,1.52385447065242,NA,0.780250993014457,0.780250993014457,NA,0.836454191502892,0.836454191502892,NA,0.86579219464363,0.86579219464363,NA,0.826199662311172,0.826199662311172,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.488888889,1404.12856211069,11.8577102004041,10.6328194761554,37.5312779046214,0.337468275621435,NA,NA,NA,NA,NA,1,2.17457651930799,2.17457651930799,NA,1.4513900236268,1.4513900236268,NA,1.52566443065109,1.52566443065109,NA,1.56463796063317,1.56463796063317,NA,1.54232286615799,1.54232286615799,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.543478261,1524.219544625,12.1428571425,10.6607142857143,37.6428571428571,0.335571428571429,NA,NA,NA,NA,NA,1,2.25664215448356,2.25664215448356,NA,1.47515282520895,1.47515282520895,NA,1.52828445848001,1.52828445848001,NA,1.56760651677564,1.56760651677564,NA,1.53668619402582,1.53668619402582,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.581395349,548.996792210526,7.34824561403509,6.92839763,25.0526315789474,0.227040377578947,NA,NA,NA,NA,NA,1,1.23549696898384,1.23549696898384,NA,0.972873310568627,0.972873310568627,NA,1.09734760006616,1.09734760006616,NA,1.16044217291452,1.16044217291452,NA,1.1459792348829,1.1459792348829,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.681818182,2041.29938059115,13.3706240485426,10.7808219178533,38.123287671413,0.327404109585979,NA,NA,NA,NA,NA,1,2.54874620580053,2.54874620580053,NA,1.57147178311161,1.57147178311161,NA,1.53948784309574,1.53948784309574,NA,1.58028861823176,1.58028861823176,NA,1.51204657546734,1.51204657546734,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.785714286,1122.47626034522,8.47572833349049,7.15963606286187,25.0930521091811,0.22023845268445,0.0944490890314668,0.0315737020183592,0.00392110969234688,0.00342627760476044,0.00861515492455956,2,1.95069684093929,1.89372860756644,0.0854475915587118,1.11561830643225,1.05662567353194,0.0824878496292627,1.13017818629402,1.09654695860504,0.0458582806045053,1.1620542972696,1.12638753399335,0.0486950584475911,1.11556219364367,1.07782052957898,0.0516428163980378,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.8,1603.02380075249,10.9093529998086,8.96124105437502,31.6782975508334,0.274385608302498,0.863037420115803,0.485271866179429,0.30695056779613,0.310121489371438,0.229303211317808,2,2.30705137058979,2.37273529690049,0.522741257726936,1.36803221248089,1.34812156048827,0.206665539056378,1.35462776375062,1.3366970820565,0.0940695628357196,1.39509512442606,1.3754556276151,0.0979330697852447,1.33538580502132,1.30639509792768,0.078241268182551,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"Cedar Creek",0.822222222,1406.34078776667,11.8629629626667,10.6333333333333,37.5333333333333,0.337433333333333,NA,NA,NA,NA,NA,1,2.1761507945179,2.1761507945179,NA,1.45183290838917,1.45183290838917,NA,1.52571275694524,1.52571275694524,NA,1.56469272488702,1.56469272488702,NA,1.54221931835882,1.54221931835882,NA,"Savanna",744,6.26793718338013,52.7925567626953,7169,31,"NAm"
"HighlandRim",0.2,82.5623766678567,2.45573904870113,1.66719666030309,6.8244652796244,0.0606777786166994,NA,NA,NA,NA,NA,1,1.22615406693586,1.22615406693586,NA,-0.0132947701586007,-0.0132947701586007,NA,0.415360484486302,0.415360484486302,NA,0.418891955774666,0.418891955774666,NA,0.522973003682106,0.522973003682106,NA,"Savanna",1479,14.28684425354,15.8351736068726,10848,42,"NAm"
"HighlandRim",1,113.750878473677,2.8955899947569,1.99887082823073,10.4747697971167,0.0782716984719624,NA,NA,NA,NA,NA,1,1.54661075910459,1.54661075910459,NA,0.151466363834832,0.151466363834832,NA,0.596799350325214,0.596799350325214,NA,0.847347454238539,0.847347454238539,NA,0.777581545781284,0.777581545781284,NA,"Savanna",1479,14.28684425354,15.8351736068726,10848,42,"NAm"
"Hitchiti",0.176470588,38.9877320786774,5.27994362991179,2.00316483173976,14.5916166790733,0.0769609550202928,1.22228348063521,0.286739548977837,0.177806854868768,0.272335904342925,0.242762007809068,4,0.165006749164723,0.285114904374815,0.585402613299353,0.110646037376292,0.111198239101411,0.040405793578228,0.0454551605057347,0.0435404946744366,0.0197370390794287,0.126545916715881,0.125905052268862,0.0387335332068165,0.0341212041536586,0.0352298834005738,0.0274361984951851,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.352941176,25.856716638009,6.15331076100116,2.25013187275149,17.3361038114714,0.0876123542280551,0.829565448734153,0.207865798199916,0.159783860759038,0.242632494898632,0.143146885034873,4,-0.245669886932952,-0.226286490885389,0.329003817113317,0.263720887958381,0.259396667322659,0.0305000391743709,0.161715639387253,0.159040424121047,0.0182050745897286,0.29889000539927,0.296337101300557,0.0348458607206459,0.163745006565043,0.16004839059442,0.017730193609953,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.388888889,26.8882575166893,4.9610312842696,1.83488838966473,13.8653280038299,0.0712980431077037,0.722202787255495,0.17857109444831,0.161395269317338,0.185407093620656,0.182406804137376,8,-0.20655061763419,-0.174672988478801,0.209481857531357,0.0483442552082514,0.0474675874831185,0.0236335479318703,-0.0422895286376024,-0.0419667622858947,0.0150633395531857,0.0754900887347108,0.074831202507166,0.0243261302686687,-0.0423081302852905,-0.0412780974145996,0.0167619936539273,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Hitchiti",0.555555556,41.6857571330941,4.38539645969025,1.71164448198689,12.4732320702086,0.0662672381904763,0.682333789862703,0.13959817241895,0.115839095358273,0.221356962480014,0.132583564088577,4,0.231919229505378,0.223477696434804,0.265328148603283,-0.0749893496944814,-0.0822786378700251,0.0245234297448554,-0.111818591459448,-0.116007829993859,0.0151622854114085,-0.0303163332432316,-0.0341031901847386,0.0323446785868608,-0.115481381312191,-0.119542075936409,0.0169985712358626,"Forest",1650,12.5240211486816,13.0455255508423,12416,19,"NAm"
"Kisatchie",0.527027027,95.28951451,35.63333333,8.75,279.8299596,0.593333333,0,0,0,0,0,12,0.209802965696261,0.115762306051129,0.723429579867634,1.73084994438772,1.72414602055091,0.0410325097274274,1.07843880966275,1.07078269305733,0.0469917898190704,2.1978486833711,2.19167868043931,0.037705258441941,1.65106699392812,1.64898049561375,0.0125973524401106,"Savanna",1578,18.9897193908691,11.6898107528687,10267,37,"NAm"
"KrugerMopani",0.1666667,66.0946394439566,1.6183092174315,5.33196434866913,23.466955553842,0.160779972707551,0.590622484438972,0.236688582169019,0.138536079016564,0.122486577298902,0.15563538267151,4,0.123883626630883,0.159135403232795,0.107856119095874,0.272431621428861,0.27404487374328,0.0249404050300576,0.246107978905291,0.24625808096813,0.0093175445246383,0.342808986733129,0.338622678971804,0.0159546182381104,0.326389500666498,0.325078490505136,0.0147891920834067,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.25,94.9184442168947,1.94900397044366,6.44655854944167,27.1570396585103,0.179809963903202,0.333644933760948,0.292894025484714,0.28759216052864,0.367560446937636,0.328895111418199,4,0.485814021699162,0.49137630113851,0.0450616905834967,0.458368167847833,0.463702098316684,0.0325136671883577,0.435934693096034,0.444024420859904,0.0253990608608278,0.488852002156972,0.499677909462471,0.0465423954174117,0.438253236610828,0.447435929196402,0.0361239243595364,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.3333333,84.0212943788966,1.66434483575812,6.09895251218639,23.9924660803459,0.161518364676579,0.413629090066871,0.290072061211044,0.294813581537786,0.284006152765647,0.25884222270588,20,0.363866251959838,0.383581862320792,0.0254357485648399,0.300481264111765,0.309921102538322,0.0150528984241268,0.380505300027403,0.390919895292631,0.00886316770609827,0.364955569527904,0.373825670786272,0.0162379509897848,0.330971548882506,0.338478699573666,0.0120708398396648,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",0.5,100.930983745176,1.9613276699297,6.68845545435288,26.0695113739232,0.199174059573883,0.542919160698252,0.465378583994804,0.402132076411129,0.365876406741334,0.417043575672538,20,0.547232934742414,0.582407568966337,0.0316913740096714,0.464671336694396,0.490665603339177,0.0217244520269019,0.472771236603168,0.492535226745844,0.0126261706139082,0.447982186700608,0.463503044234127,0.0189125210373926,0.54053181316504,0.561404719825502,0.0174493436268733,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerMopani",1,74.771047634469,1.47288691075798,5.57121644886115,21.4072277870314,0.143293913486262,0.319359704755871,0.238852107982593,0.229746942192745,0.313129379177941,0.236544664957696,4,0.247226727074319,0.251622966413344,0.0426674285068339,0.178274069914045,0.180015927798282,0.0252012515859754,0.290001685975489,0.294350714570532,0.0177909529708611,0.250944313841625,0.257138886891046,0.0370097772105994,0.211250559522065,0.213905925133283,0.0228014454175062,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",0.3333333,9.77474934525737,0.247483732104915,0.920347594724896,7.36319610143611,0.0394553218714142,0.508932835945908,0.317318392082574,0.337341365728311,0.371951261750448,0.329902963782231,20,0.527658288649267,0.558043484556367,0.0331466016320102,0.394191975770902,0.406275225708206,0.0100910810064269,0.376949705619195,0.389951166466834,0.0180153756086191,0.366246965987796,0.382497369863086,0.0174263489228494,0.225682246730923,0.23859164581125,0.0124317289117248,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",0.5,8.09354550452084,0.247286853121425,0.940234178431455,7.70806268064117,0.0404778388650009,0.316074290026332,0.16725023817912,0.231677695740387,0.248058056581682,0.245857997027016,20,0.338922718265442,0.349419204836505,0.0251197342194729,0.39339613624543,0.396389596209872,0.00644346976589554,0.398327256807331,0.403813137363987,0.0149965568679478,0.412019757008349,0.418668293173305,0.0135664095736334,0.251267942685675,0.258128615414732,0.0100019989590032,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerPretoriuskop",1,10.4036859016228,0.265902309569879,0.9351477975351,7.58629091093386,0.0373469788201332,0.577998794384532,0.121701608893853,0.175535012811541,0.221172659305307,0.0604994670222012,4,0.590015982510761,0.621819393145043,0.107120611825172,0.465976108861567,0.465311917527837,0.00875353541276158,0.392902875605741,0.390637249289628,0.0200420322619837,0.396095665522668,0.396995014853547,0.02278915138441,0.170765326811292,0.167747366956487,0.00789058908430267,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.1666667,13.1414075144373,0.630980584287455,2.48382684250568,11.5185486901755,0.0682924765297078,0.580502757890962,0.39634046382986,0.0897774079843522,0.0654804669709699,0.024316459405216,4,0.655565081915769,0.686382132525467,0.110661953339666,0.0706566295105024,0.0684186286186626,0.0847469258171035,0.210447179104615,0.210035152403835,0.00486010509771429,0.373416381334169,0.3724321339658,0.00411753709311554,0.259286006290852,0.256524386469336,0.00583497614098205,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.25,11.4378751349712,0.811124231325768,2.82504911740671,11.0781900984418,0.0735044071916327,0.487132668219382,0.375803219775869,0.290620219201464,0.270955490080918,0.265002290746208,4,0.516727186569627,0.535083585245265,0.0839516684138397,0.321802762469706,0.317582548668496,0.080634669620485,0.339172477739276,0.348310467141536,0.0241810294025761,0.334436035218621,0.342092936106533,0.0215676977812539,0.332831765292071,0.338774510958397,0.0233978124767534,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.3333333,8.76848638947887,0.548072574846136,2.08600922275806,10.2127441835908,0.0621760150913795,0.603057580182457,0.693253264217365,0.288688576045658,0.312740444309264,0.342908188898488,20,0.250961159739528,0.294159789190432,0.0412166574102985,-0.0702107487770687,-0.0145104819936544,0.069023086941508,0.0358995044328346,0.0460332362604776,0.00701881611707593,0.253094085924595,0.265015867350398,0.00794732663064025,0.16545571499533,0.179586862027782,0.0115837270583018,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
"KrugerSatara",0.5,8.78321203163092,0.5400649287121,2.1471810682133,10.1273868112747,0.0632470870043233,0.682514038360897,0.358476772504126,0.239965612859224,0.220214530427114,0.218582267762301,20,0.252639133603238,0.308606133997164,0.0464299199170293,-0.0849290921208348,-0.0732406368278027,0.0511502838995956,0.0648025773909896,0.0717166093955867,0.00572639883910544,0.244701035416882,0.250458798580744,0.00547270130397081,0.182535470359433,0.187940640112693,0.00807890650115646,"Savanna",558,22.0945720672607,78.891845703125,3305,56,"Afr"
