"Site","FireFreq","meanSeed","meanHeight","meanN","meanP","meanStem","CV_Seed","CV_Height","CV_N","CV_P","CV_Stem","n","logRR_Seed1","logRR_Seed","logRR_v_Seed","logRR_Height1","logRR_Height","logRR_v_Height","logRR_N1","logRR_N","logRR_v_N","logRR_P1","logRR_P","logRR_v_P","logRR_Stem1","logRR_Stem","logRR_v_Stem","Vegetation","MAP","MAT","Seasonality","Aridity","Duration","Continent"
"McCorkill",0.25,0.691942596986059,0.0722908507159559,0.228213621076131,0.0101201342109105,0.00582357919486585,0.845710161124564,0.240260098454734,0.225909120439791,0.185690515471857,0.213714759704852,2,-0.683416571258209,-0.522221220121511,0.457398744853331,-0.492505009318051,-0.530101530738859,0.138748252047221,-0.432018326780325,-0.44709985196286,0.0830737114969561,-0.253120105478799,-0.259025174304322,0.0468616916299483,0.139545729274904,-0.00760966977138161,0.390536923557937,"Forest",894,15.9135522842407,79.5574493408203,5289,39,"Aus"
"Morton",0.333333333,0.343266328114695,0.0431704379945839,0.65774365587395,0.082381541793008,0.000161006897575241,NA,NA,NA,NA,NA,1,-1.3952507433859,-1.3952507433859,NA,-2.05990527912555,-2.05990527912555,NA,-1.3522623906143,-1.3522623906143,NA,-1.07596058550457,-1.07596058550457,NA,-1.93700153707921,-1.93700153707921,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Morton",1,0.209436939290078,0.0316905010247561,0.944326512965108,0.090026079377568,0.000207331380944519,NA,NA,NA,NA,NA,1,-1.88933466778855,-1.88933466778855,NA,-2.36904425068804,-2.36904425068804,NA,-0.99060567657438,-0.99060567657438,NA,-0.987222590743527,-0.987222590743527,NA,-1.6841303558678,-1.6841303558678,NA,"Forest",943,9.78518772125244,29.7519588470459,7791,21,"NAm"
"Okmulgee",0.1052632,14.6270866116652,0.309015700363848,1.04832433353493,0.109172749523106,0.00241829154529178,0.40716119196053,0.863391004378111,0.809693101512266,0.783800094671683,0.915574400006153,2,1.08026749281226,1.08026749281226,NA,1.28099455083188,1.28099455083188,NA,0.731629935449784,0.731629935449784,NA,0.560322000994227,0.560322000994227,NA,0.718529480134451,0.718529480134451,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2105263,2.76791282826958,0.0457948312934949,0.433199474545779,0.0462076167646095,0.000627187538453739,0.403049437030278,0.245920315078793,0.0218584929189824,0.0534122713583524,0.111929681976302,2,-0.584514019848195,-0.584514019848195,NA,-0.628226304116214,-0.628226304116214,NA,-0.15212005795024,-0.15212005795024,NA,-0.299464835149188,-0.299464835149188,NA,-0.631041516378007,-0.631041516378007,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.2631579,1.4103533366448,0.0333913345045135,0.373141281837048,0.0400518005872117,0.00056281373779552,NA,NA,NA,NA,NA,1,-1.25876729806863,-1.25876729806863,NA,-0.944101114665978,-0.944101114665978,NA,-0.301361240507432,-0.301361240507432,NA,-0.442435853697016,-0.442435853697016,NA,-0.739338382008664,-0.739338382008664,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3157895,4.33823522600589,0.0493131030348832,0.331514774913505,0.0368925085461292,0.00061505279798112,NA,NA,NA,NA,NA,1,-0.135139928967163,-0.135139928967163,NA,-0.55420770763846,-0.55420770763846,NA,-0.419645981608921,-0.419645981608921,NA,-0.52460097467803,-0.52460097467803,NA,-0.650579002182664,-0.650579002182664,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.3684211,2.53171183974873,0.0547000076135113,0.459441332479449,0.0507784255497254,0.000873429726832015,NA,NA,NA,NA,NA,1,-0.673711873991378,-0.673711873991378,NA,-0.450533686399449,-0.450533686399449,NA,-0.09330710333946,-0.09330710333946,NA,-0.205137914209577,-0.205137914209577,NA,-0.299859440448678,-0.299859440448678,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"Okmulgee",0.5263158,1.61175712428805,0.0342647563862167,0.373133473702012,0.0409324513790168,0.00183184675676699,NA,NA,NA,NA,NA,1,-1.12528259901267,-1.12528259901267,NA,-0.918280219698995,-0.918280219698995,NA,-0.301382166138318,-0.301382166138318,NA,-0.420686303985385,-0.420686303985385,NA,0.440792777002374,0.440792777002374,NA,"Forest",1048,15.7126770019531,34.328498840332,6422,19,"NAm"
"TallTimbers",0.3138298,0.480450816364709,0.0301312858009547,0.327317392175893,0.0322691238718352,0.000322064080231547,0.802317050112249,0.525973981800693,0.314817761627656,0.258788798592021,0.500900009828055,3,-1.95336362285888,-2.03695091761077,0.692201490222191,-1.98786927776043,-1.97079439829066,0.156220431787259,-0.799724392790184,-0.796584440346488,0.0606972544048242,-0.913050332780205,-0.909605014807736,0.0381253959216769,-0.919041967248736,-0.91369858891041,0.162738368089564,"Savanna",1490,19.406042098999,26.1156997680664,9059,47,"NAm"
