oldspec,WoodDensity (g/cm3),LMA,LeafNitrogen,MaxHeight,DrySeedMass(mg),MaxTrunkDiameter,Serotiny,reseedtime,reseedsite,Btat20,RootResprout,Adventitious bud,Sites,Symbiosis,FireTolerance,DroughtTolerance,C:Ngreen_observed,C:Nsenes_observed,C:Nroots_observed,C:Pgreen_observed,C:Psenes_observed,C:Proots_observed,Barkat10cm
Cercis canadensis,0.65,42,16,11.75,23.749397,NA,NA,NA,NA,NA,NA,NA,NA,am,1,3,22.05353576,49.2279468,269.005848,360.7843137,938.7755102,357.0673707,8.89
Cercocarpus betuloides,NA,140,20,9.1,17,NA,NA,NA,0,9.906,1,NA,Mixed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercocarpus ledifolius,NA,420,NA,7.633333333,9.976677794,NA,NA,NA,0,9.906,1,NA,Mixed,NA,2,3,NA,NA,NA,NA,NA,NA,NA
Chamaecyparis lawsoniana,0.45105,NA,11.1,58.24285714,2.2,1.8,NA,NA,0,4.9856898,NA,NA,>90% forest,NA,2,1,NA,NA,NA,NA,NA,NA,NA
Chrysolepis chrysophylla,0.45,71,8.6,32,502.1067732,1.5,NA,0,0,8.6767924,1,1,Mixed,NA,1,3,NA,NA,NA,NA,NA,NA,NA
Cissus cornifolia,NA,NA,11,3,49.5,NA,NA,NA,NA,NA,1,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colophospermum mopane,0.904,100,30,10,520,0.0759,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combretum apiculatum,0.86961,147.3730749,24,6.3,163.6028571,0.0326,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combretum collinum,0.812,178.8908766,28,17,727.8057143,0.206,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combretum hereroense,0.813645,161.5508885,16,12,69.46857143,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combretum imberbe,1.05903,173.3102253,20,12,66.11,0.0993,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combretum molle,0.75768,204.9810393,19,8,79.64857143,0.3,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combretum mossambicense,NA,256.4102564,NA,4,109.3514286,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Combretum zeyheri,0.812,186.3932898,27,11,925.5,0.091,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
Commiphora africana,0.27552,73.28865094,28.5,3.2,125,NA,NA,NA,NA,NA,NA,NA,NA,am,NA,NA,NA,NA,NA,NA,NA,NA,NA
